school	student	normexam	cons	standlrt	girl	schgend	avslrt	schav	vrband
1.00	47.00	1.51	1.00	0.78	1.00	mixedsch	0.17	mid	vb1
1.00	48.00	-0.94	1.00	-0.37	0.00	mixedsch	0.17	mid	vb2
1.00	49.00	2.31	1.00	0.78	1.00	mixedsch	0.17	mid	vb1
1.00	50.00	-0.06	1.00	-0.70	1.00	mixedsch	0.17	mid	vb2
1.00	51.00	-0.20	1.00	0.04	0.00	mixedsch	0.17	mid	vb2
1.00	52.00	-0.20	1.00	-0.29	0.00	mixedsch	0.17	mid	vb2
1.00	53.00	2.04	1.00	1.61	1.00	mixedsch	0.17	mid	vb1
1.00	54.00	1.66	1.00	0.37	1.00	mixedsch	0.17	mid	vb1
1.00	55.00	1.44	1.00	1.61	1.00	mixedsch	0.17	mid	vb1
1.00	56.00	0.33	1.00	0.37	1.00	mixedsch	0.17	mid	vb1
1.00	57.00	0.07	1.00	-0.04	1.00	mixedsch	0.17	mid	vb2
1.00	58.00	0.97	1.00	-0.29	1.00	mixedsch	0.17	mid	vb2
1.00	59.00	-1.03	1.00	-0.62	1.00	mixedsch	0.17	mid	vb2
1.00	60.00	1.73	1.00	1.61	0.00	mixedsch	0.17	mid	vb1
1.00	61.00	2.41	1.00	1.20	1.00	mixedsch	0.17	mid	vb1
1.00	62.00	-1.53	1.00	-0.62	0.00	mixedsch	0.17	mid	vb2
1.00	63.00	1.44	1.00	0.87	0.00	mixedsch	0.17	mid	vb1
1.00	64.00	1.51	1.00	0.54	1.00	mixedsch	0.17	mid	vb1
1.00	65.00	1.81	1.00	0.45	0.00	mixedsch	0.17	mid	vb1
1.00	66.00	0.75	1.00	1.28	1.00	mixedsch	0.17	mid	vb1
1.00	67.00	-1.03	1.00	-1.28	0.00	mixedsch	0.17	mid	vb3
1.00	68.00	-0.13	1.00	-0.12	0.00	mixedsch	0.17	mid	vb2
1.00	69.00	1.58	1.00	0.21	0.00	mixedsch	0.17	mid	vb2
1.00	70.00	1.31	1.00	1.69	0.00	mixedsch	0.17	mid	vb1
1.00	71.00	-1.12	1.00	-0.87	1.00	mixedsch	0.17	mid	vb2
1.00	72.00	0.90	1.00	0.87	0.00	mixedsch	0.17	mid	vb1
1.00	73.00	0.26	1.00	0.37	0.00	mixedsch	0.17	mid	vb2
2.00	1.00	1.58	1.00	0.12	1.00	girlsch	0.40	high	vb2
2.00	2.00	1.24	1.00	0.70	1.00	girlsch	0.40	high	vb1
2.00	3.00	0.61	1.00	0.29	1.00	girlsch	0.40	high	vb2
2.00	4.00	0.48	1.00	0.70	1.00	girlsch	0.40	high	vb1
2.00	5.00	-1.12	1.00	-0.62	1.00	girlsch	0.40	high	vb2
2.00	6.00	1.73	1.00	1.28	1.00	girlsch	0.40	high	vb1
2.00	7.00	2.41	1.00	0.62	1.00	girlsch	0.40	high	vb1
2.00	8.00	2.92	1.00	0.95	1.00	girlsch	0.40	high	vb1
2.00	9.00	2.70	1.00	-0.46	1.00	girlsch	0.40	high	vb2
2.00	10.00	1.31	1.00	1.20	1.00	girlsch	0.40	high	vb1
2.00	11.00	1.51	1.00	1.03	1.00	girlsch	0.40	high	vb1
2.00	12.00	-0.13	1.00	-1.28	1.00	girlsch	0.40	high	vb3
2.00	13.00	-0.13	1.00	-0.54	1.00	girlsch	0.40	high	vb2
2.00	14.00	0.61	1.00	1.36	1.00	girlsch	0.40	high	vb1
2.00	15.00	3.13	1.00	1.03	1.00	girlsch	0.40	high	vb1
2.00	16.00	2.20	1.00	1.28	1.00	girlsch	0.40	high	vb1
2.00	17.00	0.54	1.00	0.37	1.00	girlsch	0.40	high	vb2
2.00	18.00	-0.62	1.00	-0.46	1.00	girlsch	0.40	high	vb2
2.00	19.00	1.44	1.00	0.04	1.00	girlsch	0.40	high	vb2
2.00	20.00	1.04	1.00	-0.29	1.00	girlsch	0.40	high	vb2
2.00	21.00	0.00	1.00	-0.62	1.00	girlsch	0.40	high	vb2
2.00	22.00	0.40	1.00	0.78	1.00	girlsch	0.40	high	vb1
2.00	23.00	-0.62	1.00	-0.79	1.00	girlsch	0.40	high	vb2
2.00	24.00	1.31	1.00	1.94	1.00	girlsch	0.40	high	vb1
2.00	25.00	-1.03	1.00	-0.87	1.00	girlsch	0.40	high	vb2
2.00	26.00	2.41	1.00	1.94	1.00	girlsch	0.40	high	vb1
2.00	27.00	0.82	1.00	-0.37	1.00	girlsch	0.40	high	vb2
2.00	28.00	0.61	1.00	0.12	1.00	girlsch	0.40	high	vb2
2.00	29.00	2.70	1.00	2.02	1.00	girlsch	0.40	high	vb1
2.00	30.00	1.73	1.00	1.94	1.00	girlsch	0.40	high	vb1
2.00	31.00	0.40	1.00	1.69	1.00	girlsch	0.40	high	vb1
2.00	32.00	-1.96	1.00	-0.46	1.00	girlsch	0.40	high	vb2
2.00	33.00	0.33	1.00	1.36	1.00	girlsch	0.40	high	vb1
2.00	34.00	-1.44	1.00	-2.77	1.00	girlsch	0.40	high	vb3
2.00	35.00	2.04	1.00	0.29	1.00	girlsch	0.40	high	vb2
2.00	36.00	0.61	1.00	-0.46	1.00	girlsch	0.40	high	vb2
2.00	37.00	-0.56	1.00	-0.12	1.00	girlsch	0.40	high	vb2
2.00	38.00	2.04	1.00	0.37	1.00	girlsch	0.40	high	vb2
2.00	39.00	-0.62	1.00	-1.70	1.00	girlsch	0.40	high	vb3
2.00	40.00	-1.12	1.00	-0.62	1.00	girlsch	0.40	high	vb2
2.00	41.00	0.75	1.00	0.04	1.00	girlsch	0.40	high	vb2
2.00	42.00	1.81	1.00	2.44	1.00	girlsch	0.40	high	vb1
2.00	43.00	1.98	1.00	2.02	1.00	girlsch	0.40	high	vb1
2.00	44.00	-1.22	1.00	0.21	1.00	girlsch	0.40	high	vb2
2.00	45.00	0.40	1.00	1.28	1.00	girlsch	0.40	high	vb1
2.00	46.00	1.11	1.00	2.19	1.00	girlsch	0.40	high	vb1
2.00	47.00	1.04	1.00	1.61	1.00	girlsch	0.40	high	vb1
2.00	48.00	-0.27	1.00	-0.54	1.00	girlsch	0.40	high	vb2
2.00	49.00	1.66	1.00	0.70	1.00	girlsch	0.40	high	vb1
2.00	50.00	2.10	1.00	2.19	1.00	girlsch	0.40	high	vb1
2.00	51.00	3.13	1.00	1.28	1.00	girlsch	0.40	high	vb1
2.00	52.00	0.61	1.00	-0.46	1.00	girlsch	0.40	high	vb2
2.00	53.00	0.61	1.00	-0.04	1.00	girlsch	0.40	high	vb2
2.00	54.00	-1.34	1.00	-1.12	1.00	girlsch	0.40	high	vb3
2.00	55.00	-0.85	1.00	-1.12	1.00	girlsch	0.40	high	vb3
3.00	1.00	-0.20	1.00	-0.04	1.00	mixedsch	0.51	high	vb2
3.00	2.00	2.92	1.00	1.36	1.00	mixedsch	0.51	high	vb1
3.00	3.00	-0.70	1.00	1.36	1.00	mixedsch	0.51	high	vb1
3.00	4.00	2.41	1.00	1.45	0.00	mixedsch	0.51	high	vb1
3.00	5.00	0.90	1.00	-0.12	0.00	mixedsch	0.51	high	vb2
3.00	6.00	0.13	1.00	-0.54	0.00	mixedsch	0.51	high	vb2
3.00	7.00	-0.70	1.00	0.70	0.00	mixedsch	0.51	high	vb1
3.00	8.00	0.00	1.00	-0.04	0.00	mixedsch	0.51	high	vb2
3.00	9.00	-0.06	1.00	-1.86	0.00	mixedsch	0.51	high	vb3
3.00	10.00	1.18	1.00	0.12	1.00	mixedsch	0.51	high	vb2
3.00	11.00	1.98	1.00	2.44	0.00	mixedsch	0.51	high	vb1
3.00	12.00	-0.27	1.00	1.28	1.00	mixedsch	0.51	high	vb1
3.00	13.00	0.68	1.00	-0.62	1.00	mixedsch	0.51	high	vb2
3.00	14.00	0.26	1.00	1.20	1.00	mixedsch	0.51	high	vb1
3.00	15.00	0.97	1.00	0.21	1.00	mixedsch	0.51	high	vb2
3.00	16.00	1.51	1.00	-0.21	1.00	mixedsch	0.51	high	vb2
3.00	17.00	1.37	1.00	0.37	0.00	mixedsch	0.51	high	vb1
3.00	18.00	0.26	1.00	-0.21	0.00	mixedsch	0.51	high	vb2
3.00	19.00	1.81	1.00	1.20	0.00	mixedsch	0.51	high	vb1
3.00	20.00	0.13	1.00	0.37	1.00	mixedsch	0.51	high	vb2
3.00	21.00	-1.12	1.00	-1.12	0.00	mixedsch	0.51	high	vb3
3.00	22.00	0.40	1.00	0.29	1.00	mixedsch	0.51	high	vb2
3.00	23.00	1.58	1.00	0.70	1.00	mixedsch	0.51	high	vb1
3.00	24.00	0.75	1.00	0.62	0.00	mixedsch	0.51	high	vb1
3.00	25.00	0.40	1.00	0.29	1.00	mixedsch	0.51	high	vb2
3.00	26.00	1.81	1.00	1.28	1.00	mixedsch	0.51	high	vb1
3.00	27.00	2.04	1.00	2.44	0.00	mixedsch	0.51	high	vb1
3.00	28.00	2.20	1.00	1.86	0.00	mixedsch	0.51	high	vb1
3.00	29.00	0.82	1.00	1.03	1.00	mixedsch	0.51	high	vb1
3.00	30.00	2.04	1.00	0.95	1.00	mixedsch	0.51	high	vb1
3.00	31.00	1.98	1.00	2.44	0.00	mixedsch	0.51	high	vb1
3.00	32.00	1.44	1.00	0.70	0.00	mixedsch	0.51	high	vb1
3.00	33.00	1.58	1.00	0.95	1.00	mixedsch	0.51	high	vb1
3.00	34.00	1.24	1.00	1.03	0.00	mixedsch	0.51	high	vb1
3.00	35.00	1.37	1.00	0.37	1.00	mixedsch	0.51	high	vb2
3.00	36.00	0.90	1.00	1.20	1.00	mixedsch	0.51	high	vb1
3.00	37.00	0.82	1.00	-0.62	0.00	mixedsch	0.51	high	vb2
3.00	38.00	2.10	1.00	0.95	1.00	mixedsch	0.51	high	vb1
3.00	39.00	-0.34	1.00	-0.95	0.00	mixedsch	0.51	high	vb2
3.00	40.00	1.04	1.00	0.04	0.00	mixedsch	0.51	high	vb2
3.00	41.00	1.44	1.00	0.04	0.00	mixedsch	0.51	high	vb2
3.00	42.00	0.13	1.00	0.62	0.00	mixedsch	0.51	high	vb1
3.00	43.00	1.11	1.00	0.21	0.00	mixedsch	0.51	high	vb2
3.00	44.00	1.51	1.00	0.95	1.00	mixedsch	0.51	high	vb1
3.00	45.00	-0.94	1.00	-0.29	0.00	mixedsch	0.51	high	vb2
3.00	46.00	-0.27	1.00	-0.87	0.00	mixedsch	0.51	high	vb2
3.00	47.00	0.61	1.00	1.28	1.00	mixedsch	0.51	high	vb1
3.00	48.00	0.75	1.00	0.54	0.00	mixedsch	0.51	high	vb1
3.00	49.00	-0.49	1.00	0.29	1.00	mixedsch	0.51	high	vb2
3.00	50.00	-0.20	1.00	0.62	0.00	mixedsch	0.51	high	vb1
3.00	51.00	0.97	1.00	0.54	0.00	mixedsch	0.51	high	vb2
3.00	52.00	2.20	1.00	-0.04	0.00	mixedsch	0.51	high	vb2
4.00	1.00	0.68	1.00	0.37	1.00	mixedsch	0.09	mid	vb2
4.00	2.00	0.48	1.00	-0.21	0.00	mixedsch	0.09	mid	vb2
4.00	3.00	0.26	1.00	1.86	0.00	mixedsch	0.09	mid	vb1
4.00	4.00	0.19	1.00	0.12	1.00	mixedsch	0.09	mid	vb2
4.00	5.00	-1.72	1.00	-1.28	0.00	mixedsch	0.09	mid	vb3
4.00	6.00	-0.42	1.00	-0.54	0.00	mixedsch	0.09	mid	vb2
4.00	7.00	0.40	1.00	-0.37	1.00	mixedsch	0.09	mid	vb2
4.00	8.00	-0.20	1.00	-0.46	0.00	mixedsch	0.09	mid	vb2
4.00	9.00	0.07	1.00	0.87	1.00	mixedsch	0.09	mid	vb1
4.00	10.00	-1.53	1.00	-0.87	0.00	mixedsch	0.09	mid	vb2
4.00	11.00	-0.27	1.00	-0.29	1.00	mixedsch	0.09	mid	vb2
4.00	12.00	-0.85	1.00	-1.03	0.00	mixedsch	0.09	mid	vb2
4.00	13.00	0.33	1.00	1.94	0.00	mixedsch	0.09	mid	vb1
4.00	14.00	-0.85	1.00	-0.70	0.00	mixedsch	0.09	mid	vb2
4.00	15.00	0.40	1.00	-0.04	0.00	mixedsch	0.09	mid	vb2
4.00	16.00	-0.70	1.00	-0.21	0.00	mixedsch	0.09	mid	vb2
4.00	17.00	0.68	1.00	-0.46	1.00	mixedsch	0.09	mid	vb2
4.00	18.00	2.53	1.00	0.87	1.00	mixedsch	0.09	mid	vb1
4.00	19.00	1.58	1.00	0.37	0.00	mixedsch	0.09	mid	vb2
4.00	20.00	-1.62	1.00	-2.36	0.00	mixedsch	0.09	mid	vb3
4.00	21.00	-0.34	1.00	0.29	0.00	mixedsch	0.09	mid	vb2
4.00	22.00	-0.42	1.00	-0.12	1.00	mixedsch	0.09	mid	vb2
4.00	23.00	-0.62	1.00	0.21	0.00	mixedsch	0.09	mid	vb2
4.00	24.00	1.31	1.00	0.62	1.00	mixedsch	0.09	mid	vb1
4.00	25.00	0.68	1.00	0.95	1.00	mixedsch	0.09	mid	vb1
4.00	26.00	-0.27	1.00	-0.87	0.00	mixedsch	0.09	mid	vb2
4.00	27.00	-2.29	1.00	-0.87	1.00	mixedsch	0.09	mid	vb2
4.00	28.00	-0.70	1.00	-1.20	0.00	mixedsch	0.09	mid	vb3
4.00	29.00	-1.44	1.00	-1.78	1.00	mixedsch	0.09	mid	vb3
4.00	30.00	-0.13	1.00	0.62	0.00	mixedsch	0.09	mid	vb1
4.00	31.00	0.19	1.00	-0.04	0.00	mixedsch	0.09	mid	vb2
4.00	32.00	0.54	1.00	0.54	0.00	mixedsch	0.09	mid	vb1
4.00	33.00	0.68	1.00	-0.70	0.00	mixedsch	0.09	mid	vb2
4.00	34.00	-0.06	1.00	0.95	0.00	mixedsch	0.09	mid	vb1
4.00	35.00	1.11	1.00	0.37	0.00	mixedsch	0.09	mid	vb1
4.00	36.00	-0.70	1.00	0.78	0.00	mixedsch	0.09	mid	vb1
4.00	37.00	-0.85	1.00	0.37	1.00	mixedsch	0.09	mid	vb2
4.00	38.00	-1.34	1.00	-1.86	0.00	mixedsch	0.09	mid	vb3
4.00	39.00	-2.29	1.00	-1.86	0.00	mixedsch	0.09	mid	vb3
4.00	40.00	0.19	1.00	-0.54	1.00	mixedsch	0.09	mid	vb2
4.00	41.00	1.44	1.00	0.62	1.00	mixedsch	0.09	mid	vb1
4.00	42.00	0.13	1.00	0.04	1.00	mixedsch	0.09	mid	vb2
4.00	43.00	-0.56	1.00	0.04	1.00	mixedsch	0.09	mid	vb2
4.00	44.00	-0.56	1.00	-0.95	0.00	mixedsch	0.09	mid	vb2
4.00	45.00	0.90	1.00	0.12	1.00	mixedsch	0.09	mid	vb2
4.00	46.00	-0.56	1.00	-0.21	0.00	mixedsch	0.09	mid	vb2
4.00	47.00	2.04	1.00	1.78	1.00	mixedsch	0.09	mid	vb1
4.00	48.00	0.82	1.00	0.04	0.00	mixedsch	0.09	mid	vb2
4.00	49.00	1.58	1.00	-0.54	1.00	mixedsch	0.09	mid	vb2
4.00	50.00	1.04	1.00	0.04	1.00	mixedsch	0.09	mid	vb2
4.00	51.00	2.10	1.00	2.27	1.00	mixedsch	0.09	mid	vb1
4.00	52.00	0.54	1.00	1.20	0.00	mixedsch	0.09	mid	vb1
4.00	53.00	1.98	1.00	2.35	0.00	mixedsch	0.09	mid	vb1
4.00	54.00	0.68	1.00	1.53	1.00	mixedsch	0.09	mid	vb1
4.00	55.00	0.75	1.00	0.70	0.00	mixedsch	0.09	mid	vb1
4.00	56.00	1.51	1.00	2.11	0.00	mixedsch	0.09	mid	vb1
4.00	57.00	2.10	1.00	0.87	1.00	mixedsch	0.09	mid	vb1
4.00	58.00	-0.56	1.00	-0.70	0.00	mixedsch	0.09	mid	vb2
4.00	59.00	-0.56	1.00	-0.62	1.00	mixedsch	0.09	mid	vb2
4.00	60.00	-0.06	1.00	0.87	1.00	mixedsch	0.09	mid	vb1
4.00	61.00	-1.03	1.00	0.21	0.00	mixedsch	0.09	mid	vb2
4.00	62.00	-0.62	1.00	0.12	0.00	mixedsch	0.09	mid	vb2
4.00	63.00	-0.49	1.00	-0.79	1.00	mixedsch	0.09	mid	vb2
4.00	64.00	-0.94	1.00	-1.78	1.00	mixedsch	0.09	mid	vb3
4.00	65.00	-1.03	1.00	-0.79	1.00	mixedsch	0.09	mid	vb2
4.00	66.00	0.07	1.00	0.62	1.00	mixedsch	0.09	mid	vb1
4.00	67.00	1.18	1.00	1.69	0.00	mixedsch	0.09	mid	vb1
4.00	68.00	-1.22	1.00	-0.70	0.00	mixedsch	0.09	mid	vb2
4.00	69.00	-0.62	1.00	-0.04	0.00	mixedsch	0.09	mid	vb2
4.00	70.00	2.31	1.00	0.45	1.00	mixedsch	0.09	mid	vb2
4.00	71.00	-1.62	1.00	-0.95	0.00	mixedsch	0.09	mid	vb2
4.00	72.00	-0.56	1.00	0.04	0.00	mixedsch	0.09	mid	vb2
4.00	73.00	-0.27	1.00	0.78	1.00	mixedsch	0.09	mid	vb1
4.00	74.00	-0.85	1.00	-0.29	0.00	mixedsch	0.09	mid	vb2
4.00	75.00	0.75	1.00	0.78	1.00	mixedsch	0.09	mid	vb1
4.00	76.00	1.11	1.00	1.86	1.00	mixedsch	0.09	mid	vb1
4.00	77.00	1.90	1.00	1.45	0.00	mixedsch	0.09	mid	vb1
4.00	78.00	-0.06	1.00	-0.54	0.00	mixedsch	0.09	mid	vb2
4.00	79.00	0.33	1.00	0.12	0.00	mixedsch	0.09	mid	vb2
5.00	1.00	1.04	1.00	-0.37	1.00	mixedsch	0.21	high	vb2
5.00	2.00	1.04	1.00	0.21	0.00	mixedsch	0.21	high	vb2
5.00	3.00	0.19	1.00	0.29	1.00	mixedsch	0.21	high	vb2
5.00	4.00	0.19	1.00	0.04	0.00	mixedsch	0.21	high	vb2
5.00	5.00	0.26	1.00	0.95	0.00	mixedsch	0.21	high	vb1
5.00	6.00	1.51	1.00	0.70	1.00	mixedsch	0.21	high	vb1
5.00	7.00	0.33	1.00	1.20	1.00	mixedsch	0.21	high	vb1
5.00	8.00	-0.13	1.00	-0.37	1.00	mixedsch	0.21	high	vb2
5.00	9.00	-1.12	1.00	-0.37	1.00	mixedsch	0.21	high	vb2
5.00	10.00	0.19	1.00	0.54	1.00	mixedsch	0.21	high	vb2
5.00	11.00	0.33	1.00	-0.12	0.00	mixedsch	0.21	high	vb2
5.00	12.00	1.11	1.00	1.78	0.00	mixedsch	0.21	high	vb1
5.00	13.00	0.75	1.00	0.45	1.00	mixedsch	0.21	high	vb2
5.00	14.00	-0.06	1.00	-0.37	0.00	mixedsch	0.21	high	vb2
5.00	15.00	0.40	1.00	-0.21	0.00	mixedsch	0.21	high	vb2
5.00	16.00	2.10	1.00	2.02	1.00	mixedsch	0.21	high	vb1
5.00	17.00	0.33	1.00	-0.62	0.00	mixedsch	0.21	high	vb2
5.00	18.00	1.58	1.00	-0.21	0.00	mixedsch	0.21	high	vb2
5.00	19.00	0.61	1.00	0.29	1.00	mixedsch	0.21	high	vb2
5.00	20.00	0.68	1.00	0.62	1.00	mixedsch	0.21	high	vb1
5.00	21.00	0.19	1.00	0.54	0.00	mixedsch	0.21	high	vb1
5.00	22.00	-0.13	1.00	-1.20	1.00	mixedsch	0.21	high	vb2
5.00	23.00	1.18	1.00	-0.37	1.00	mixedsch	0.21	high	vb2
5.00	24.00	0.26	1.00	0.70	0.00	mixedsch	0.21	high	vb1
5.00	25.00	1.44	1.00	1.20	1.00	mixedsch	0.21	high	vb1
5.00	26.00	0.48	1.00	0.12	0.00	mixedsch	0.21	high	vb2
5.00	27.00	-1.22	1.00	-0.70	1.00	mixedsch	0.21	high	vb2
5.00	28.00	-0.49	1.00	-0.29	0.00	mixedsch	0.21	high	vb2
5.00	29.00	1.31	1.00	0.45	0.00	mixedsch	0.21	high	vb2
5.00	30.00	0.61	1.00	0.54	0.00	mixedsch	0.21	high	vb1
5.00	31.00	-0.78	1.00	-0.79	1.00	mixedsch	0.21	high	vb2
5.00	32.00	-1.22	1.00	-0.37	1.00	mixedsch	0.21	high	vb2
5.00	33.00	1.18	1.00	0.87	0.00	mixedsch	0.21	high	vb1
5.00	34.00	0.40	1.00	0.54	1.00	mixedsch	0.21	high	vb1
5.00	35.00	-0.42	1.00	-0.29	1.00	mixedsch	0.21	high	vb2
6.00	1.00	0.61	1.00	-0.46	1.00	girlsch	0.64	high	vb2
6.00	2.00	1.04	1.00	0.45	1.00	girlsch	0.64	high	vb1
6.00	3.00	0.90	1.00	0.54	1.00	girlsch	0.64	high	vb1
6.00	4.00	0.40	1.00	0.87	1.00	girlsch	0.64	high	vb1
6.00	5.00	0.19	1.00	1.53	1.00	girlsch	0.64	high	vb1
6.00	6.00	1.90	1.00	0.87	1.00	girlsch	0.64	high	vb1
6.00	7.00	0.07	1.00	1.94	1.00	girlsch	0.64	high	vb1
6.00	8.00	1.31	1.00	1.61	1.00	girlsch	0.64	high	vb1
6.00	9.00	2.04	1.00	0.87	1.00	girlsch	0.64	high	vb1
6.00	10.00	1.58	1.00	0.62	1.00	girlsch	0.64	high	vb1
6.00	11.00	1.90	1.00	0.21	1.00	girlsch	0.64	high	vb2
6.00	12.00	-0.27	1.00	0.21	1.00	girlsch	0.64	high	vb2
6.00	13.00	1.98	1.00	2.19	1.00	girlsch	0.64	high	vb1
6.00	14.00	0.82	1.00	0.62	1.00	girlsch	0.64	high	vb1
6.00	15.00	0.75	1.00	-1.03	1.00	girlsch	0.64	high	vb3
6.00	16.00	1.66	1.00	2.27	1.00	girlsch	0.64	high	vb1
6.00	17.00	2.31	1.00	0.54	1.00	girlsch	0.64	high	vb1
6.00	18.00	1.37	1.00	0.54	1.00	girlsch	0.64	high	vb1
6.00	19.00	1.73	1.00	1.20	1.00	girlsch	0.64	high	vb1
6.00	20.00	0.68	1.00	0.78	1.00	girlsch	0.64	high	vb1
6.00	21.00	2.20	1.00	1.86	1.00	girlsch	0.64	high	vb1
6.00	22.00	1.44	1.00	0.12	1.00	girlsch	0.64	high	vb2
6.00	23.00	0.40	1.00	0.04	1.00	girlsch	0.64	high	vb2
6.00	24.00	1.04	1.00	-0.12	1.00	girlsch	0.64	high	vb2
6.00	25.00	-0.42	1.00	-0.37	1.00	girlsch	0.64	high	vb2
6.00	26.00	0.26	1.00	-1.03	1.00	girlsch	0.64	high	vb2
6.00	27.00	1.24	1.00	1.28	1.00	girlsch	0.64	high	vb1
6.00	28.00	0.48	1.00	0.87	1.00	girlsch	0.64	high	vb1
6.00	29.00	1.04	1.00	-0.95	1.00	girlsch	0.64	high	vb3
6.00	30.00	0.90	1.00	0.87	1.00	girlsch	0.64	high	vb1
6.00	31.00	2.10	1.00	2.35	1.00	girlsch	0.64	high	vb1
6.00	32.00	0.54	1.00	-0.37	1.00	girlsch	0.64	high	vb2
6.00	33.00	0.97	1.00	2.19	1.00	girlsch	0.64	high	vb1
6.00	34.00	1.58	1.00	1.28	1.00	girlsch	0.64	high	vb1
6.00	35.00	2.63	1.00	2.02	1.00	girlsch	0.64	high	vb1
6.00	36.00	1.24	1.00	0.37	1.00	girlsch	0.64	high	vb1
6.00	37.00	0.61	1.00	0.95	1.00	girlsch	0.64	high	vb1
6.00	38.00	1.37	1.00	0.87	1.00	girlsch	0.64	high	vb1
6.00	39.00	1.24	1.00	0.29	1.00	girlsch	0.64	high	vb2
6.00	40.00	1.98	1.00	1.45	1.00	girlsch	0.64	high	vb1
6.00	41.00	0.82	1.00	0.12	1.00	girlsch	0.64	high	vb2
6.00	42.00	-1.72	1.00	-1.45	1.00	girlsch	0.64	high	vb3
6.00	43.00	0.07	1.00	0.62	1.00	girlsch	0.64	high	vb1
6.00	44.00	1.58	1.00	1.20	1.00	girlsch	0.64	high	vb1
6.00	45.00	1.58	1.00	0.95	1.00	girlsch	0.64	high	vb1
6.00	46.00	2.31	1.00	1.20	1.00	girlsch	0.64	high	vb1
6.00	47.00	0.19	1.00	0.37	1.00	girlsch	0.64	high	vb2
